0,203778144
1,203307588
2,202838039
3,202369494
4,201901955
5,201435417
6,200969882
7,200505349
8,200041821
9,199579297
10,199117775
11,198657257
12,198197740
13,197739224
14,197281710
15,196825197
16,196369685
17,195915176
18,195461668
19,195009165
20,194557664
21,194107168
22,193657674
23,193209181
24,192761688
25,192315198
26,191869709
27,191425221
28,190981734
29,190539251
30,190097771
31,189657291
32,189217815
33,188779346
34,188341879
35,187905413
36,187469950
37,187035490
38,186602031
39,186169577
40,185738127
41,185307681
42,184878235
43,184449790
44,184022348
45,183595906
46,183170468
47,182746030
48,182322595
49,181900162
50,181478732
51,181058302
52,180638877
53,180220452
54,179803027
55,179386603
56,178971180
57,178556759
58,178143340
59,177730921
60,177319504
61,176909089
62,176499677
63,176091265
64,175683856
65,175277450
66,174872052
67,174467658
68,174064269
69,173661881
70,173260494
71,172860109
72,172460727
73,172062351
74,171664978
75,171268605
76,170873234
77,170478863
78,170085493
79,169693125
80,169301758
81,168911393
82,168522033
83,168133675
84,167746317
85,167359960
86,166974603
87,166590248
88,166206895
89,165824542
90,165443190
91,165062840
92,164683498
93,164305158
94,163927820
95,163551483
96,163176148
97,162801815
98,162428485
99,162056157
100,161684833
101,161314511
102,160945193
103,160576876
104,160209562
105,159843249
106,159477941
107,159113633
108,158750328
109,158388025
110,158026723
111,157666425
112,157307132
113,156948842
114,156591553
115,156235266
116,155879982
117,155525701
118,155172421
119,154820142
120,154468864
121,154118587
122,153769311
123,153421036
124,153073762
125,152727490
126,152382221
127,152037952
128,151694684
129,151352418
130,151011152
131,150670886
132,150331623
133,149993360
134,149656098
135,149319837
136,148984578
137,148650320
138,148317063
139,147984807
140,147653551
141,147323295
142,146994039
143,146665784
144,146338533
145,146012282
146,145687033
147,145362785
148,145039539
149,144717293
150,144396047
151,144075803
152,143756559
153,143438316
154,143121073
155,142804832
156,142489594
157,142175356
158,141862118
159,141549881
160,141238646
161,140928411
162,140619176
163,140310941
164,140003709
165,139697477
166,139392247
167,139088017
168,138784787
169,138482559
170,138181331
171,137881104
172,137581878
173,137283653
174,136986430
175,136690207
176,136394985
177,136100764
178,135807546
179,135515329
180,135224115
181,134933902
182,134644690
183,134356483
184,134069278
185,133783075
186,133497872
187,133213673
188,132930476
189,132648281
190,132367087
191,132086893
192,131807699
193,131529505
194,131252312
195,130976120
196,130700930
197,130426742
198,130153555
199,129881369
200,129610185
201,129340002
202,129070820
203,128802640
204,128535460
205,128269281
206,128004104
207,127739928
208,127476754
209,127214580
210,126953406
211,126693233
212,126434060
213,126175888
214,125918718
215,125662550
216,125407382
217,125153215
218,124900049
219,124647883
220,124396718
221,124146554
222,123897390
223,123649226
224,123402063
225,123155901
226,122910741
227,122666582
228,122423423
229,122181265
230,121940108
231,121699953
232,121460799
233,121222645
234,120985491
235,120749337
236,120514183
237,120280031
238,120046880
239,119814730
240,119583580
241,119353430
242,119124280
243,118896130
244,118668981
245,118442832
246,118217684
247,117993536
248,117770389
249,117548243
250,117327098
251,117106954
252,116887810
253,116669667
254,116452525
255,116236383
256,116021241
257,115807101
258,115593961
259,115381821
260,115170683
261,114960546
262,114751409
263,114543272
264,114336135
265,114129998
266,113924861
267,113720725
268,113517591
269,113315458
270,113114326
271,112914198
272,112715070
273,112516944
274,112319819
275,112123695
276,111928572
277,111734450
278,111541330
279,111349212
280,111158094
281,110967978
282,110778864
283,110590750
